Index,Restaurant Name,Address,Phone,Website,Email,WhatsApp,WhatsApp Link,Rating,Review Count,Category,Hours,Facebook,Instagram,Twitter,Scraped At
11,Kirvem Grill Haus,"Leipziger Str. 85, 60487 Frankfurt am Main",069 24705816,"https://Leipziger Str. 85, 60487 Frankfurt am Main",,,https://wa.me/496924705816,4.7,,Türkisches Restaurant,,,,,2025-06-26T14:01:27.001Z
12,Konak Restaurant,"Radilostraße 34, 60489 Frankfurt am Main",069 90556660,https://www.konak-restaurant.de/,,,https://wa.me/496990556660,4.6,,Türkisches Restaurant,,,https://www.instagram.com/,,2025-06-26T14:01:32.065Z
13,Mangal ET Kebap-Haus,"Große Friedberger Str. 14, 60313 Frankfurt am Main",069 97694224,"https://Große Friedberger Str. 14, 60313 Frankfurt am Main",,,https://wa.me/496997694224,4.8,,Türkisches Restaurant,,,,,2025-06-26T14:01:36.614Z
14,Antep Sofrası,"Albanusstraße 37, 65929 Frankfurt am Main",069 37564090,http://www.antepsofrasi-frankfurt.com/,,,https://wa.me/496937564090,4.5,,Türkisches Restaurant,,,,,2025-06-26T14:01:41.242Z
15,Lavin Restaurant,"Breitlacherstraße 89, 60489 Frankfurt am Main",069 70609360,https://de-de.facebook.com/Lavinrestaurant,,,https://wa.me/496970609360,4.4,,Türkisches Restaurant,,https://de-de.facebook.com/Lavinrestaurant,,,2025-06-26T14:01:49.109Z
16,Emir ET Restaurant,"Allerheiligenstraße 21, 60313 Frankfurt am Main",069 61994023,https://emiret-restaurant.de/,,,https://wa.me/496961994023,4.2,,Türkisches Restaurant,,,,,2025-06-26T14:01:53.362Z
17,Central Grill Grillhouse,"Mainzer Landstraße 240, 60326 Frankfurt am Main",069 97319612,http://centralgrill-ffm.de/,,,https://wa.me/496997319612,4.1,,Türkisches Restaurant,,,,,2025-06-26T14:01:57.643Z
18,Marmaris Grillhaus,"Taunusstraße 44, 60329 Frankfurt am Main",069 24249403,"Taunusstraße 44, 60329 Frankfurt am Main",,,https://wa.me/496924249403,4.7,,Türkisches Restaurant,,,,,2025-06-26T14:02:01.711Z
19,Duble Meze Grill,"Rothschildallee 36, 60389 Frankfurt am Main",01523 8961488,https://www.dublemezegrill.de/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16834049652509789080,,,https://wa.me/4915238961488,4.7,,Türkisches Restaurant,,,https://www.instagram.com/duble_meze_grill/,,2025-06-26T14:02:06.928Z
20,Lezizel Manti - Frankfurt,"Berger Str. 148, 60385 Frankfurt am Main",069 30072665,https://lezizel.de/lezizel-filiale-frankfurt,,,https://wa.me/496930072665,4.4,,Türkisches Restaurant,,,https://www.instagram.com/lezizel_frankfurt,,2025-06-26T14:02:12.077Z
21,Minka,"Zeil 23, 60313 Frankfurt am Main",069 21996454,"Zeil 23, 60313 Frankfurt am Main",,,https://wa.me/496921996454,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:02:16.228Z
22,Haus des Döners,"Kaiserstraße 52, 60329 Frankfurt am Main",,"Kaiserstraße 52, 60329 Frankfurt am Main",,,,4.8,,Döner-Restaurant,,,,,2025-06-26T14:02:20.727Z
23,Cronberger Gartenlokal,60389 Frankfurt am Main,01578 8197255,60389 Frankfurt am Main,,,https://wa.me/4915788197255,4.7,,Türkisches Restaurant,,,,,2025-06-26T14:02:29.181Z
24,Nazar DÖNER & GRILL Katharienenpforte 6,"Katharinenpforte 6, 60313 Frankfurt am Main",01521 2383963,http://nazar-doener.de/,,,https://wa.me/4915212383963,4.6,,Türkisches Restaurant,,,https://www.instagram.com/nazar_doener/,,2025-06-26T14:02:34.261Z
25,Melis Kebap&Pizza,"Leipziger Str. 62, 60487 Frankfurt am Main",069 92883195,"https://Leipziger Str. 62, 60487 Frankfurt am Main",,,https://wa.me/496992883195,4.1,,Türkisches Restaurant,,,,,2025-06-26T14:02:39.593Z
26,YA’ MEDINA Steaks&More Halal Steakhouse Frankfurt,"Berliner Str. 10, 60311 Frankfurt am Main",069 21006635,https://medina-steakhouse.de/,,,https://wa.me/496921006635,4.6,,Halalrestaurant,,,https://www.instagram.com/medina_steakhouse/,,2025-06-26T14:02:44.024Z
27,My Lokanta - Restaurant & Bar,"Gravensteiner-Platz 6, 60435 Frankfurt am Main",069 20738449,https://my-lokanta.eatbu.com/,,,https://wa.me/496920738449,4.5,,Türkisches Restaurant,,,,,2025-06-26T14:02:49.374Z
28,Köfteci Oguz,"17, Münchener Str. 15, 60329 Frankfurt am Main",069 24247024,"https://17, Münchener Str. 15, 60329 Frankfurt am Main",,,https://wa.me/496924247024,4.7,,Türkisches Restaurant,,,,,2025-06-26T14:02:53.532Z
29,Mamma Forno,"Zeil 29, 60313 Frankfurt am Main",069 13386888,http://www.mamma-forno.de/,,,https://wa.me/496913386888,4.6,,Mediterranes Restaurant,,,,,2025-06-26T14:03:00.947Z
30,Haus des Döners,"Mainzer Landstraße 258, 60326 Frankfurt am Main",0174 9716171,https://www.hausdesdoners.de/,,,https://wa.me/491749716171,4.7,,Döner-Restaurant,,,https://www.instagram.com/hausdesdoners/reel/C-hZuxvNBJ8/,,2025-06-26T14:03:06.507Z
31,Alanya City Frankfurt am Main,"Taunusstraße 36, 60329 Frankfurt am Main",069 24248269,https://alanya-city.de/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,,,https://wa.me/496924248269,3.9,,Türkisches Restaurant,,,,,2025-06-26T14:03:10.622Z
32,PALU GRILL DÖNER,"Leipziger Str. 32, 60487 Frankfurt am Main",069 26018148,https://sellwerk.de/firmenprofil/palu-grillhaus,,,https://wa.me/496926018148,4.2,,Türkisches Restaurant,,,https://www.instagram.com/palu_grill?igsh=NTRtMjlzMG1sNmF1,,2025-06-26T14:03:15.090Z
33,Kebabchi Frankfurt,"Landgrafenstraße 7, 60486 Frankfurt am Main",069 36606421,https://kebabchi-frankfurt.de/21422?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,,,https://wa.me/496936606421,4.9,,Kebabimbiss,,,,,2025-06-26T14:03:20.522Z
34,Çetin Grill,"Frankenallee 153, 60326 Frankfurt am Main",069 7393796,http://www.cetingrill.de/,,,https://wa.me/49697393796,4.4,,Türkisches Restaurant,,,,,2025-06-26T14:03:25.739Z
35,Berger Kebap Frankfurt am Main,"Berger Str. 40-42, 60316 Frankfurt am Main",069 40562017,"https://Berger Str. 40-42, 60316 Frankfurt am Main",,,https://wa.me/496940562017,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:03:30.355Z
36,Toprak Grill & Steak Haus,"Große Friedberger Str. 19, 60313 Frankfurt am Main",069 27243686,https://toprakkebaphaus.wixsite.com/toprak-kebap-haus,,,https://wa.me/496927243686,4.1,,Türkisches Restaurant,,,,,2025-06-26T14:03:38.049Z
37,Elbistan,"Königsteiner Str. 40, 65929 Frankfurt am Main",069 41070077,"https://Königsteiner Str. 40, 65929 Frankfurt am Main",,,https://wa.me/496941070077,4.5,,Türkisches Restaurant,,,,,2025-06-26T14:03:43.146Z
38,Papay Restaurant,"Allerheiligenstraße 40, 60313 Frankfurt am Main",069 95198919,https://papay-restaurant.eatbu.com/,,,https://wa.me/496995198919,4.5,,Syrisches Restaurant,,,,,2025-06-26T14:03:48.376Z
39,Kaptan Döner Grill & Kebaphaus,"Schäfergasse 52, 60313 Frankfurt am Main",069 410268,"Schäfergasse 52, 60313 Frankfurt am Main",,,https://wa.me/4969410268,4.6,,Kebabimbiss,,,,,2025-06-26T14:03:52.996Z
40,Ibo'nun Yeri,"Ginnheimer Waldgasse 33, 60431 Frankfurt am Main",0177 1954597,"Ginnheimer Waldgasse 33, 60431 Frankfurt am Main",,,https://wa.me/491771954597,4.6,,Türkisches Restaurant,,,,,2025-06-26T14:03:58.314Z
41,Efes Taverne,"Sossenheimer Riedstraße 21, 65936 Frankfurt am Main",0177 7877509,"Sossenheimer Riedstraße 21, 65936 Frankfurt am Main",,,https://wa.me/491777877509,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:04:03.144Z
42,Morgenland,"Berger Str. 215, 60385 Frankfurt am Main",069 452561,"https://Berger Str. 215, 60385 Frankfurt am Main",,,https://wa.me/4969452561,4.1,,Türkisches Restaurant,,,,,2025-06-26T14:04:11.340Z
43,Nirwana Grill,"Berger Str. 194, 60385 Frankfurt am Main",069 94599800,http://nirwanagrill.de/,,,https://wa.me/496994599800,4.6,,Restaurant,,,,,2025-06-26T14:04:15.990Z
44,SAFF-ET,"Zeil 44, 60313 Frankfurt am Main",069 42607868,http://saffetrestaurant.de/,,,https://wa.me/496942607868,3.9,,Türkisches Restaurant,,,https://www.instagram.com/saffetfrankfurt/,,2025-06-26T14:04:20.169Z
45,Altin Sofrasi,"Textorstraße 10, 60594 Frankfurt am Main",069 20736774,"Textorstraße 10, 60594 Frankfurt am Main",,,https://wa.me/496920736774,4.0,,Türkisches Restaurant,,,,,2025-06-26T14:04:24.619Z
46,Melis,"Am Dorfgarten 1, 60435 Frankfurt am Main",069 95454530,"Am Dorfgarten 1, 60435 Frankfurt am Main",,,https://wa.me/496995454530,4.4,,Kebabimbiss,,,,,2025-06-26T14:04:29.311Z
47,Star Türkü Evi Frankfurt,"Bischofsweg 48 A, 60598 Frankfurt am Main",01573 5589581,https://www.instagram.com/starturku,,,https://wa.me/4915735589581,4.2,,Türkisches Restaurant,,,https://www.instagram.com/starturku,,2025-06-26T14:04:34.586Z
48,WATAN KABAB,"Münchener Str. 21, 60329 Frankfurt am Main",069 24009931,"https://Münchener Str. 21, 60329 Frankfurt am Main",,,https://wa.me/496924009931,4.2,,Afghanisches Restaurant,,,,,2025-06-26T14:04:38.803Z
49,Ünlü Kebap,"Düsseldorfer Str. 15-17, 60329 Frankfurt am Main",069 68604565,"https://Düsseldorfer Str. 15-17, 60329 Frankfurt am Main",,,https://wa.me/496968604565,4.4,,Kebabimbiss,,,,,2025-06-26T14:04:47.074Z
50,Bam Bam Keb'up - Döner Pizza Lahmacun Pide,"Berger Str. 116, 60316 Frankfurt am Main",069 15343608,http://bambam-kebup.de/,,,https://wa.me/496915343608,4.8,,Döner-Restaurant,,,https://www.instagram.com/bambamkebup,,2025-06-26T14:04:52.007Z
51,Istanbul Fisch Grill,"Münchener Str. 27, 60329 Frankfurt am Main",069 89990539,"https://Münchener Str. 27, 60329 Frankfurt am Main",,,https://wa.me/496989990539,4.3,,Meeresfrüchte-Restaurant,,,,,2025-06-26T14:04:57.136Z
52,MokkaTeeria,"Heidestraße 149, 60385 Frankfurt am Main",069 90759091,https://www.mokkateeria.de/,,,https://wa.me/496990759091,4.8,,Café,,,https://www.instagram.com/mokkateeria/,,2025-06-26T14:05:01.560Z
53,Efendi Turkisch Food,"Borsigallee 26, 60388 Frankfurt am Main",0172 6299995,"Borsigallee 26, 60388 Frankfurt am Main",,,https://wa.me/491726299995,3.7,,Türkisches Restaurant,,,,,2025-06-26T14:05:06.111Z
54,URFA GRILLHAUS,"Hanauer Landstraße 133, 60314 Frankfurt am Main",069 43057661,http://www.urfa-grill-pizzeria.de/,,,https://wa.me/496943057661,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:05:10.261Z
55,TADIM ET KEBAP,"Große Friedberger Str. 14, 60313 Frankfurt am Main",069 97694224,https://zove.me/tadim-et-kebap-964614-de,,,https://wa.me/496997694224,3.1,,Türkisches Restaurant,,,,,2025-06-26T14:05:15.408Z
56,Frankfurt,"Katharinenpforte 6, 60313 Frankfurt am Main",,"Katharinenpforte 6, 60313 Frankfurt am Main",,,,,,Türkisches Restaurant,,,,,2025-06-26T14:05:23.143Z
57,Ramo's Döner & Kebab & Pizza Haus Frankfurt,"Schwalbacher Str. 40, 60326 Frankfurt am Main",069 91310958,http://www.xn--ramos-dner-pizza-grill-0hc.de/,,,https://wa.me/496991310958,4.4,,Türkisches Restaurant,,,,,2025-06-26T14:05:27.662Z
58,Dönaladn Frankfurt,"Berger Str. 76-78, 60316 Frankfurt am Main",069 50692926,https://www.doenaladnfrankfurt.de/,,,https://wa.me/496950692926,4.3,,Döner-Restaurant,,,https://www.instagram.com/doenaladn_frankfurt/,,2025-06-26T14:05:33.029Z
59,Meral Imbiss,"Schaumainkai 35, 60594 Frankfurt am Main",0162 4353304,http://www.meral-event.de/,,,https://wa.me/491624353304,4.1,,Döner-Restaurant,,,,,2025-06-26T14:05:37.779Z
60,Bayram Kebap Haus,"Münchener Str. 29, 60329 Frankfurt am Main",069 24249774,http://www.bayram-kebap-haus.de/,,,https://wa.me/496924249774,3.8,,Türkisches Restaurant,,,https://www.instagram.com/bayram.kebap.haus/,,2025-06-26T14:05:41.960Z
61,WESTEND DÖNER,"Reuterweg 55, 60323 Frankfurt am Main",069 43093385,"Reuterweg 55, 60323 Frankfurt am Main",,,https://wa.me/496943093385,4.1,,Türkisches Restaurant,,,,,2025-06-26T14:05:47.444Z
62,Meral Imbiss,"Schaumainkai 35, 60594 Frankfurt am Main",0162 4353304,http://www.meral-event.de/,,,https://wa.me/491624353304,4.1,,Döner-Restaurant,,,,,2025-06-26T14:05:51.839Z
63,Du Liban-Libanon Restaurant,"Weserstraße 17, 60329 Frankfurt am Main",069 24008686,http://du-liban-express.de/,,,https://wa.me/496924008686,4.7,,Libanesisches Restaurant,,,,,2025-06-26T14:06:00.250Z
64,DÖNERHELD,"Zeil 39, 60313 Frankfurt am Main",0173 3883370,https://doener-held.de/,,,https://wa.me/491733883370,4.8,,Fast-Food-Restaurant,,,https://www.instagram.com/doenerhelden/,,2025-06-26T14:06:04.623Z
65,Frankfurt,"Katharinenpforte 6, 60313 Frankfurt am Main",,"Katharinenpforte 6, 60313 Frankfurt am Main",,,,,,Türkisches Restaurant,,,,,2025-06-26T14:06:09.994Z
66,Dönaladn Frankfurt,"Berger Str. 76-78, 60316 Frankfurt am Main",069 50692926,https://www.doenaladnfrankfurt.de/,,,https://wa.me/496950692926,4.3,,Döner-Restaurant,,,https://www.instagram.com/doenaladn_frankfurt/,,2025-06-26T14:06:14.320Z
67,Alice Premium Döner,"Europa-Allee 6, 60327 Frankfurt am Main",069 67727237,"Europa-Allee 6, 60327 Frankfurt am Main",,,https://wa.me/496967727237,2.7,,Türkisches Restaurant,,,,,2025-06-26T14:06:19.326Z
68,MokkaTeeria,"Heidestraße 149, 60385 Frankfurt am Main",069 90759091,https://www.mokkateeria.de/,,,https://wa.me/496990759091,4.8,,Café,,,https://www.instagram.com/mokkateeria/,,2025-06-26T14:06:23.708Z
69,BABAM,"Münchener Str. 11, 60329 Frankfurt am Main",069 24004455,http://babam.de/,,,https://wa.me/496924004455,4.5,,Persisches Restaurant,,,https://www.instagram.com/restaurantbabam,,2025-06-26T14:06:28.942Z
70,Star Türkü Evi Frankfurt,"Bischofsweg 48 A, 60598 Frankfurt am Main",01573 5589581,https://www.instagram.com/starturku,,,https://wa.me/4915735589581,4.2,,Türkisches Restaurant,,,https://www.instagram.com/starturku,,2025-06-26T14:06:36.706Z
71,Grüneburg Döner,"Grüneburgweg 21, 60322 Frankfurt am Main",069 58005847,https://grueneburg-doener.eatbu.com/,,,https://wa.me/496958005847,4.5,,Kebabimbiss,,,,,2025-06-26T14:06:41.528Z
72,URFA GRILLHAUS,"Hanauer Landstraße 133, 60314 Frankfurt am Main",069 43057661,http://www.urfa-grill-pizzeria.de/,,,https://wa.me/496943057661,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:06:46.468Z
73,Mersin Kebap,"Berger Str. 85, 60316 Frankfurt am Main",069 15628971,https://speisekartenweb.de/restaurants/frankfurt+am+main/mersin-kebap-108301?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin_b_google_0524,,,https://wa.me/496915628971,4.1,,Türkisches Restaurant,,,,,2025-06-26T14:06:50.842Z
74,PARIS Doener & Pizza Haus,"Gräfstraße 87, 60487 Frankfurt am Main",069 70792944,"Gräfstraße 87, 60487 Frankfurt am Main",,,https://wa.me/496970792944,3.4,,Türkisches Restaurant,,,,,2025-06-26T14:06:55.495Z
75,Hazar Döner,"Börsenplatz 1-3, Schillerstraße 9, 60313 Frankfurt am Main",069 20328287,https://www.xn--hazar-dner-kcb.de/,,,https://wa.me/496920328287,4.5,,Fast-Food-Restaurant,,,,,2025-06-26T14:07:00.629Z
76,Avlija - Balkan Grill,"Mainzer Landstraße 114, 60327 Frankfurt am Main",069 74221400,https://www.facebook.com/avlija.frankfurt,,,https://wa.me/496974221400,4.8,,Restaurant,,https://www.facebook.com/avlija.frankfurt,,,2025-06-26T14:07:05.131Z
77,Tatie Restaurant,"Am Hauptbahnhof 18, 60329 Frankfurt am Main",069 13817828,http://www.tatie-frankfurt.de/,,,https://wa.me/496913817828,4.3,,Marokkanisches Restaurant,,,https://www.instagram.com/tatie_restaurant/,,2025-06-26T14:07:13.963Z
78,Ton Bul Grill- und Kebap-Haus,"Berliner Str. 2, 60311 Frankfurt am Main",069 284179,http://tonbuldoner.de/,,,https://wa.me/4969284179,3.7,,Kebabimbiss,,,,,2025-06-26T14:07:18.809Z
79,Nefis Kebap Haus,"Münchener Str. 51, 60329 Frankfurt am Main",069 37309848,"https://Münchener Str. 51, 60329 Frankfurt am Main",,,https://wa.me/496937309848,3.9,,Kebabimbiss,,,,,2025-06-26T14:07:23.665Z
80,African Queen Restaurant,"Schloßstraße 113, 60486 Frankfurt am Main",069 24248505,http://african-queen-restaurant.de/,,,https://wa.me/496924248505,4.7,,Eritreisches Restaurant,,,https://www.instagram.com/africanqueen_frankfurt/?hl=de,,2025-06-26T14:07:28.964Z
81,Hasan's Baba Döner,"Heerstraße 159, 60488 Frankfurt am Main",069 90507732,"Heerstraße 159, 60488 Frankfurt am Main",,,https://wa.me/496990507732,4.0,,Türkisches Restaurant,,,,,2025-06-26T14:07:33.177Z
82,Bovo‘s Döner,"Eckenheimer Landstraße 43, 60318 Frankfurt am Main",069 59797187,https://www.bovosdner.de/,,,https://wa.me/496959797187,4.4,,Kebabimbiss,,,,,2025-06-26T14:07:38.745Z
83,Restaurant Thai Fun,"Elbestraße 15, 60329 Frankfurt am Main",069 26958430,http://www.thaifun-halal.de/,,,https://wa.me/496926958430,4.6,,Thailändisches Restaurant,,,https://www.instagram.com/thaifunrestaurant/,,2025-06-26T14:07:47.416Z
84,Köylü-Döner,"Paradiesgasse 65, 60594 Frankfurt am Main",069 628913,"Paradiesgasse 65, 60594 Frankfurt am Main",,,https://wa.me/4969628913,4.0,,Kebabimbiss,,,,,2025-06-26T14:07:52.153Z
85,Sindam Bistro & Cafe,"Berger Str. 170, 60385 Frankfurt am Main",069 90432799,https://www.sindam-bistro-cafe-frankfurt-am-main.de/,,,https://wa.me/496990432799,4.5,,Restaurant mit Essen zum Mitnehmen,,,,,2025-06-26T14:07:56.943Z
86,Can Kebap Haus,"Radilostraße 7, 60489 Frankfurt am Main",069 65602672,https://mapclick.me/can-kebap-haus-154295-de,,,https://wa.me/496965602672,4.4,,Kebabimbiss,,,,,2025-06-26T14:08:01.971Z
87,MATIZ – Mezze Grill Bar,"Im Bruch 60, 65933 Frankfurt am Main",,https://weblom.me/matiz-mezze-grill-bar-530482-de,,,,3.4,,Bar & Grillrestaurant,,,,,2025-06-26T14:08:07.102Z
88,Saray Restaurant & Cafe,"Homburger Landstraße 668, 60437 Frankfurt am Main",069 56005950,https://www.sarayfrankfurt.de/,,,https://wa.me/496956005950,3.9,,Türkisches Restaurant,,,,,2025-06-26T14:08:12.120Z
89,Aroma Balkan Grill,"Münchener Str. 18, 60329 Frankfurt am Main",0175 6644091,"https://Münchener Str. 18, 60329 Frankfurt am Main",,,https://wa.me/491756644091,4.0,,Restaurant,,,,,2025-06-26T14:08:20.585Z
90,Cigköftem,"Münchener Str. 20, 60329 Frankfurt am Main",069 36602372,https://www.facebook.com/pages/category/Vegetarian-Vegan-Restaurant/Cigk%C3%B6ftem-Frankfurt-227085597373757/,,,https://wa.me/496936602372,4.2,,Veganes Restaurant,,https://www.facebook.com/pages/category/Vegetarian-Vegan-Restaurant/Cigk%C3%B6ftem-Frankfurt-227085597373757/,,,2025-06-26T14:08:25.433Z
91,Big Chefs,"MyZeil, Zeil 106/110/4.OG, 60313 Frankfurt am Main",069 27271800,https://www.bigchefscafe.eu/,,,https://wa.me/496927271800,3.6,,Restaurant,,,,,2025-06-26T14:08:29.501Z
92,MAHLZEIT Imbiss,"Schwalbacher Str. 62, 60326 Frankfurt am Main",069 97323199,https://www.mahlzeitimbiss.de/,,,https://wa.me/496997323199,4.1,,Kebabimbiss,,,,,2025-06-26T14:08:34.752Z
93,Viking Pizza & Kebap Haus,"Wittelsbacherallee 71, 60385 Frankfurt am Main",069 85804100,"Wittelsbacherallee 71, 60385 Frankfurt am Main",,,https://wa.me/496985804100,4.4,,Döner-Restaurant,,,,,2025-06-26T14:08:40.169Z
94,MC Döner,"Bruchfeldstraße 29, 60528 Frankfurt am Main",069 85804008,https://www.mcdoener-frankfurtammain.de/,,,https://wa.me/496985804008,3.8,,Türkisches Restaurant,,,,,2025-06-26T14:08:44.502Z
95,Sümela,"Bornheimer Landstraße 77, 60316 Frankfurt am Main",069 17498888,http://www.suemela.de/,,,https://wa.me/496917498888,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:08:48.952Z
96,Nordend Gözleme und Wraps,"Glauburgstraße 36, 60318 Frankfurt am Main",069 27113574,"Glauburgstraße 36, 60318 Frankfurt am Main",,,https://wa.me/496927113574,4.7,,Frühstückslokal,,,,,2025-06-26T14:08:56.972Z
97,Zagros Dorger Restaurant,"Taunusstraße 23, 60329 Frankfurt am Main",069 42891664,"Taunusstraße 23, 60329 Frankfurt am Main",,,https://wa.me/496942891664,3.4,,Restaurant,,,,,2025-06-26T14:09:02.473Z
